Address: 0x00000768, Set: 0x5, Miss, Tag: 0x000003
Address: 0x00000557, Set: 0x5, Miss, Tag: 0x000002
Address: 0x00000592, Set: 0x6, Miss, Tag: 0x000002
Address: 0x00000079, Set: 0x1, Miss, Tag: 0x000000
Address: 0x00000069, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000981, Set: 0x6, Miss, Tag: 0x000004
Address: 0x00000469, Set: 0x1, Miss, Tag: 0x000002
Address: 0x00000074, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000034, Set: 0x0, Miss, Tag: 0x000000
Address: 0x00000224, Set: 0x0, Miss, Tag: 0x000001
Address: 0x00000153, Set: 0x5, Miss, Tag: 0x000000
Address: 0x00000049, Set: 0x1, Hit, Tag: 0x000000
Address: 0x00000802, Set: 0x0, Miss, Tag: 0x000004
Address: 0x00000478, Set: 0x1, Hit, Tag: 0x000002
Address: 0x00000165, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000141, Set: 0x5, Hit, Tag: 0x000000
Address: 0x00000242, Set: 0x1, Miss, Tag: 0x000001
Address: 0x00000778, Set: 0x5, Miss, Tag: 0x000003
Address: 0x00000552, Set: 0x5, Miss, Tag: 0x000002
Address: 0x00000957, Set: 0x5, Miss, Tag: 0x000004
Address: 0x00000682, Set: 0x2, Miss, Tag: 0x000003
Address: 0x00000131, Set: 0x4, Miss, Tag: 0x000000
Address: 0x00000746, Set: 0x5, Miss, Tag: 0x000003
Address: 0x00000575, Set: 0x5, Miss, Tag: 0x000002
Address: 0x00000685, Set: 0x2, Hit, Tag: 0x000003
Address: 0x00000850, Set: 0x1, Miss, Tag: 0x000004
Address: 0x00000258, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00000915, Set: 0x4, Miss, Tag: 0x000004
Address: 0x00000978, Set: 0x5, Miss, Tag: 0x000004
Address: 0x00001016, Set: 0x0, Miss, Tag: 0x000008
Address: 0x00000731, Set: 0x4, Miss, Tag: 0x000003
Address: 0x00000722, Set: 0x4, Hit, Tag: 0x000003
Address: 0x00000549, Set: 0x5, Hit, Tag: 0x000002
Address: 0x00000300, Set: 0x4, Miss, Tag: 0x000001
Address: 0x00000801, Set: 0x0, Hit, Tag: 0x000004
Address: 0x00000618, Set: 0x0, Miss, Tag: 0x000003
Address: 0x00000257, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00000246, Set: 0x1, Hit, Tag: 0x000001
Address: 0x00000693, Set: 0x2, Hit, Tag: 0x000003
Address: 0x00000291, Set: 0x2, Miss, Tag: 0x000001
Address: 0x00000471, Set: 0x1, Miss, Tag: 0x000002
Address: 0x00000846, Set: 0x1, Miss, Tag: 0x000004
Address: 0x00000340, Set: 0x5, Miss, Tag: 0x000001
Address: 0x00000249, Set: 0x1, Miss, Tag: 0x000001
Address: 0x00000300, Set: 0x4, Hit, Tag: 0x000001
Address: 0x00000506, Set: 0x4, Miss, Tag: 0x000002
